work_id,total_expenditure,expenditure_transaction_count,unique_vendor_count,duplicate_transaction_count,duplicate_group_count,potential_duplicate_amount_total,days_to_sanction,days_to_completion,expenditure_vs_sanction_ratio,disbursement_vs_sanction_ratio,last_expenditure_date,days_since_last_expenditure,expenditure_exceeds_sanction,disbursement_exceeds_sanction,completed_without_completion_date,completed_without_disbursement,expenditure_without_matching_work,high_transaction_count,multiple_vendors,has_potential_duplicate_transaction,potential_duplicate_transaction
WS/MP18338/2025-2026/258042,200000.0,1,1,0,0,0.0,19,,0.4,,2026-03-16,173,False,False,False,False,False,False,False,False,False
WS/MP765/2025-2026/232980,200000.0,1,1,0,0,0.0,165,,1.0,,2026-03-10,179,False,False,False,False,False,False,False,False,False
WS/MP18389/2025-2026/185191,500000.0,1,1,0,0,0.0,320,404,1.0,1.0,2026-02-13,204,False,False,False,False,False,False,False,False,False
WS/MP18187/2026-2027/189772,99230.0,1,1,0,0,0.0,375,390,0.9923,0.9923,2026-05-07,121,False,False,False,False,False,False,False,False,False
WS/MP18188/2025-2026/258866,497884.0,1,1,0,0,0.0,66,,0.995768,,2026-08-14,22,False,False,False,False,False,False,False,False,False
WS/MP18194/2025-2026/228387,126851.0,1,1,0,0,0.0,162,253,0.9915656999921832,0.9915656999921832,2026-07-24,43,False,False,False,False,False,False,False,False,False
WS/MP762/2026-2027/280169,103387.0,1,1,0,0,0.0,33,,1.0,,2026-06-23,74,False,False,False,False,False,False,False,False,False
WS/MP18188/2025-2026/159484,125000.0,1,1,0,0,0.0,178,,1.0,,2026-07-11,56,False,False,False,False,False,False,False,False,False
WS/MP18190/2025-2026/177022,,0,0,0,0,0.0,,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18192/2026-2027/288697,,0,0,0,0,0.0,,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18190/2025-2026/192005,982534.0,1,1,0,0,0.0,,,0.984503006012024,0.984503006012024,2026-01-08,240,False,False,False,False,False,False,False,False,False
